name,domain,industry,employee_count,location,founded_year,linkedin_url,source
Health First,healthfirst.com,Health,57,"San Jose, California",,,manual_import
Occupational Health & Safety Magazine,occupationalhealthsafetymagazine.com,Health,90,"Dallas, Texas",,,manual_import
Mediant Health Resources,medianthealthresources.com,Hospital & Health Care,53,"Phoenix, Arizona",,,manual_import
Mindful,mindful.com,Health,54,"Chicago, Illinois",,,manual_import
Cradlewise,cradlewise.com,Consumer Services,74,"San Francisco, California",,,manual_import
Handelnine Global,handelnineglobal.com,Retail,58,"Lewes, Delaware",,,manual_import
Puffy,puffy.com,Retail,67,"Los Angeles, California",,,manual_import
Remote Raven,remoteraven.com,Consumer Services,57,"Scottsdale, Arizona",,,manual_import
Wellness Alliance,wellnessalliance.com,Health,99,"Brookfield, Wisconsin",,,manual_import
Shoppers Mart,shoppersmart.com,Retail,52,"San Francisco, California",,,manual_import
Book of the Month,bookofthemonth.com,Retail,64,"New York, New York",,,manual_import
Advize,advize.com,,80,"Orlando, Florida",,,manual_import
American Organization for Nursing Leadership (AONL),americanorganizationfornursingleadershipaonl.com,,77,"Chicago, Illinois",,,manual_import
Playbook,playbook.com,Health,63,"New York, New York",,,manual_import
Charcoal,charcoal.com,Retail,92,"San Francisco, California",,,manual_import
The DAISY Foundation,thedaisyfoundation.com,Hospital & Health Care,59,"Glen Ellen, California",,,manual_import
Reframe,reframe.com,Health,76,"Atlanta, Georgia",,,manual_import
"Diversified Services Network, Inc.",diversifiedservicesnetwork.com,Health,70,"Naperville, Illinois",,,manual_import
Rock Health,rockhealth.com,,74,"San Francisco, California",,,manual_import
ARMRA®,armra.com,Health,100,"Bonita Springs, Florida",,,manual_import
Medterra,medterra.com,Health,72,"Irvine, California",,,manual_import
Josie Maran,josiemaran.com,Health,94,"Los Angeles, California",,,manual_import
egnite Health,egnitehealth.com,,56,"Aliso Viejo, California",,,manual_import
Color,color.com,Hospital & Health Care,55,"Burlingame, California",,,manual_import
Livongo,livongo.com,Health,94,"Mountain View, California",,,manual_import
Homethrive,homethrive.com,Hospital & Health Care,95,"Northbrook, Illinois",,,manual_import
ISPA - International SPA Association,ispainternationalspaassociation.com,Health,95,"Lexington, Kentucky",,,manual_import
Spa Connectors,spaconnectors.com,Health,75,"De Pere, Wisconsin",,,manual_import
Aspen Medical - USA,aspenmedicalusa.com,Hospital & Health Care,72,"San Antonio, Texas",,,manual_import
Eberjey,eberjey.com,Retail,89,"Miami, Florida",,,manual_import
Sandberg Goldberg Bernthal Family Foundation,sandberggoldbergbernthalfamilyfoundation.com,Consumer Services,79,"San Francisco, California",,,manual_import
INFINITI RCM,infinitircm.com,Hospital & Health Care,85,"Bakersfield, California",,,manual_import
First Day,firstday.com,Health,56,"Austin, Texas",,,manual_import
Cosmoprof North America,cosmoprofnorthamerica.com,Health,85,"New York, New York",,,manual_import
Society for Public Health Education,societyforpublichealtheducation.com,Health,67,"Alexandria, Virginia",,,manual_import
Biossance,biossance.com,Health,85,"San Francisco, California",,,manual_import
Women's Sports Foundation,womenssportsfoundation.com,Health,59,"New York, New York",,,manual_import
"TESARO, Inc.",tesaro.com,Hospital & Health Care,55,"Waltham, Massachusetts",,,manual_import
kokoro.doctor,kokorodoctor.com,Hospital & Health Care,64,"Boston, Massachusetts",,,manual_import
GLAMNETIC,glamnetic.com,Health,58,"Miami Beach, Florida",,,manual_import
Fourth Frontier,fourthfrontier.com,Health,61,"Austin, Texas",,,manual_import
Zealthy,zealthy.com,Hospital & Health Care,68,"New York, New York",,,manual_import
NOBLE PANACEA,noblepanacea.com,Health,87,"Irvine, California",,,manual_import
DayToDay Health,daytodayhealth.com,,92,"Boston, Massachusetts",,,manual_import
Sciometrix,sciometrix.com,Hospital & Health Care,59,"Royal Oak, Michigan",,,manual_import
"Auris Health, Inc.",aurishealth.com,Hospital & Health Care,100,"Redwood City, California",,,manual_import
FlyteHealth,flytehealth.com,,90,"New Canaan, Connecticut",,,manual_import
Hero Cosmetics,herocosmetics.com,Health,99,"New York, New York",,,manual_import
Welltok,welltok.com,Health,57,"Denver, Colorado",,,manual_import
EMOTIV,emotiv.com,Health,97,"San Francisco, California",,,manual_import
VieCure,viecure.com,Hospital & Health Care,96,"Greenwood Village, Colorado",,,manual_import
Nabla,nabla.com,,77,"New York, New York",,,manual_import
ELSO (The Extracorporeal Life Support Organization),elsotheextracorporeallifesupportorganization.com,Hospital & Health Care,57,"Ann Arbor, Michigan",,,manual_import
Ovia Health,oviahealth.com,,89,"Boston, Massachusetts",,,manual_import
Kopari Beauty,koparibeauty.com,Cosmetics,95,"San Diego, California",,,manual_import
Synapticure,synapticure.com,,87,"Chicago, Illinois",,,manual_import
Buncha,buncha.com,Retail,73,"Minneapolis, Minnesota",,,manual_import
Veyl Ventures,veylventures.com,Health,52,"New York, New York",,,manual_import
The Pill Club,thepillclub.com,Hospital & Health Care,82,"San Mateo, California",,,manual_import
Black Women's Health Imperative,blackwomenshealthimperative.com,Health,52,"Washington, District of Columbia",,,manual_import
GE HealthCare Command Center,gehealthcarecommandcenter.com,Hospital & Health Care,92,"Chicago, Illinois",,,manual_import
Coco cooking,cococooking.com,Retail,65,"Ohio, US",,,manual_import
WellRight,wellright.com,Health,90,"Chicago, Illinois",,,manual_import
Syte,syte.com,Retail,100,"New York, US",,,manual_import
Physician Assistant Jobs (PA Jobs) - PAJobSite.com,physicianassistantjobspajobspajobsitecom.com,Hospital & Health Care,95,"Destin, Florida",,,manual_import
DoctusTech,doctustech.com,Hospital & Health Care,51,"Redondo Beach, California",,,manual_import
Thrive Causemetics Inc.,thrivecausemetics.com,Health,84,"Bellevue, Washington",,,manual_import
The Frankie Shop,thefrankieshop.com,Retail,90,"New York, New York",,,manual_import
Lovepop,lovepop.com,Retail,96,"Boston, Massachusetts",,,manual_import
Medical Fitness Association,medicalfitnessassociation.com,Health,75,"Pinehurst, North Carolina",,,manual_import
