Name,Actions,Links,Number of Employees,Industries,Keywords,Location
Health First,Save,N/A,57,"Health, Wellness & Fitness",public health,"San Jose, California"
Occupational Health & Safety Magazine,Save,N/A,90,"Health, Wellness & Fitness",+91,"Dallas, Texas"
Mediant Health Resources,Save,N/A,53,Hospital & Health Care,"it staffing, +113","Phoenix, Arizona"
Mindful,Save,N/A,54,"Health, Wellness & Fitness",+111,"Chicago, Illinois"
Cradlewise,Save,N/A,74,Consumer Services,"iot, +58","San Francisco, California"
Handelnine Global,Save,N/A,58,Retail,+144,"Lewes, Delaware"
Puffy,Save,N/A,67,Retail,"sleep, mattresses, +64","Los Angeles, California"
Remote Raven,Save,N/A,57,Consumer Services,+102,"Scottsdale, Arizona"
Wellness Alliance,Save,N/A,99,"Health, Wellness & Fitness",+146,"Brookfield, Wisconsin"
Shoppers Mart,Save,N/A,52,Retail,"online shopping, +12","San Francisco, California"
Book of the Month,Save,N/A,64,Retail,+72,"New York, New York"
Advize,Save,N/A,80,+2,"litigation support, +147","Orlando, Florida"
American Organization for Nursing Leadership (AONL),Save,N/A,77,+2,"nurse executives, +68","Chicago, Illinois"
Playbook,Save,N/A,63,"Health, Wellness & Fitness","mobile, +75","New York, New York"
Charcoal,Save,N/A,92,Retail,"luxury product design, +91","San Francisco, California"
The DAISY Foundation,Save,N/A,59,Hospital & Health Care,+108,"Glen Ellen, California"
Reframe,Save,N/A,76,"Health, Wellness & Fitness","mobile commerce, +92","Atlanta, Georgia"
"Diversified Services Network, Inc.",Save,N/A,70,"Health, Wellness & Fitness","staff augmentation, +86","Naperville, Illinois"
Rock Health,Save,N/A,74,+2,"venture fund, +75","San Francisco, California"
ARMRA®,Save,N/A,100,"Health, Wellness & Fitness",+86,"Bonita Springs, Florida"
Medterra,Save,N/A,72,"Health, Wellness & Fitness","cbd, retail, +111","Irvine, California"
Josie Maran,Save,N/A,94,"Health, Wellness & Fitness",+114,"Los Angeles, California"
egnite Health,Save,N/A,56,+3,"medical device, +107","Aliso Viejo, California"
Color,Save,N/A,55,Hospital & Health Care,"cancer, +106","Burlingame, California"
Amenify,,,,,,
Livongo,Save,N/A,94,"Health, Wellness & Fitness",+65,"Mountain View, California"
Homethrive,Save,N/A,95,Hospital & Health Care,"hospitals & health care, +92","Northbrook, Illinois"
ISPA - International SPA Association,Save,N/A,95,"Health, Wellness & Fitness",+83,"Lexington, Kentucky"
Spa Connectors,Save,N/A,75,"Health, Wellness & Fitness","guest experience, +124","De Pere, Wisconsin"
Aspen Medical - USA,Save,N/A,72,Hospital & Health Care,"humanitarian projects, +109","San Antonio, Texas"
Eberjey,Save,N/A,89,"Retail, Apparel & Fashion","lingerie, sleepwear, +89","Miami, Florida"
Sandberg Goldberg Bernthal Family Foundation,Save,N/A,79,Consumer Services,+88,"San Francisco, California"
INFINITI RCM,Save,N/A,85,Hospital & Health Care,+17,"Bakersfield, California"
First Day,Save,N/A,56,"Health, Wellness & Fitness",+76,"Austin, Texas"
Cosmoprof North America,Save,N/A,85,"Health, Wellness & Fitness",+109,"New York, New York"
Society for Public Health Education,Save,N/A,67,"Health, Wellness & Fitness","health education, +93","Alexandria, Virginia"
Biossance,Save,N/A,85,"Health, Wellness & Fitness",+86,"San Francisco, California"
Women's Sports Foundation,Save,N/A,59,"Health, Wellness & Fitness","youth programming, +141","New York, New York"
"TESARO, Inc.",Save,N/A,55,"Hospital & Health Care, +2","biopharmaceuticals, +68","Waltham, Massachusetts"
kokoro.doctor,Save,N/A,64,Hospital & Health Care,"llms, ai agent, +35","Boston, Massachusetts"
GLAMNETIC,Save,N/A,58,"Health, Wellness & Fitness",+32,"Miami Beach, Florida"
Fourth Frontier,Save,N/A,61,"Health, Wellness & Fitness","health data security, +122","Austin, Texas"
Zealthy,Save,N/A,68,Hospital & Health Care,"hospitals & health care, +94","New York, New York"
NOBLE PANACEA,Save,N/A,87,"Health, Wellness & Fitness","skin care & cosmetics, +54","Irvine, California"
DayToDay Health,Save,N/A,92,+2,"digital health, +88","Boston, Massachusetts"
Sciometrix,Save,N/A,59,Hospital & Health Care,+103,"Royal Oak, Michigan"
"Auris Health, Inc.",Save,N/A,100,Hospital & Health Care,+70,"Redwood City, California"
FlyteHealth,Save,N/A,90,+2,"telehealth, obesity, +155","New Canaan, Connecticut"
Hero Cosmetics,Save,N/A,99,"Health, Wellness & Fitness","acne, skincare, +124","New York, New York"
Welltok,Save,N/A,57,"Health, Wellness & Fitness",+82,"Denver, Colorado"
EMOTIV,Save,N/A,97,"Health, Wellness & Fitness","brain activity tracker, +71","San Francisco, California"
VieCure,Save,N/A,96,Hospital & Health Care,"cancer treatment, +79","Greenwood Village, Colorado"
Nabla,Save,N/A,77,+2,"artificial intelligence, +131","New York, New York"
ELSO (The Extracorporeal Life Support Organization),Save,N/A,57,Hospital & Health Care,"hospitals & health care, +28","Ann Arbor, Michigan"
Ovia Health,Save,N/A,89,+2,"mobile, pregnancy, +117","Boston, Massachusetts"
Kopari Beauty,Save,N/A,95,Cosmetics,"skin care, +60","San Diego, California"
Synapticure,Save,N/A,87,+3,"guide, lewy body, +103","Chicago, Illinois"
Buncha,Save,N/A,73,Retail,"mobile ordering app, +99","Minneapolis, Minnesota"
Veyl Ventures,Save,N/A,52,"Health, Wellness & Fitness","marketing, sem, +121","New York, New York"
The Pill Club,Save,N/A,82,Hospital & Health Care,"birth control, +127","San Mateo, California"
Black Women's Health Imperative,Save,N/A,52,"Health, Wellness & Fitness","womens health, +101","Washington, District of Columbia"
GE HealthCare Command Center,Save,N/A,92,Hospital & Health Care,"real time healthcare, +69","Chicago, Illinois"
Coco cooking,Save,N/A,65,Retail,"meal delivery, +68","Ohio, US"
WellRight,Save,N/A,90,"Health, Wellness & Fitness","wellness, software, +76","Chicago, Illinois"
Syte,Save,N/A,100,"Retail, Apparel & Fashion","image recognition, +108","New York, US"
Physician Assistant Jobs (PA Jobs) - PAJobSite.com,Save,N/A,95,Hospital & Health Care,"physician assistant, +41","Destin, Florida"
DoctusTech,Save,N/A,51,Hospital & Health Care,"hcc coding, +54","Redondo Beach, California"
Thrive Causemetics Inc.,Save,N/A,84,"Health, Wellness & Fitness","beauty, cosmetics, +67","Bellevue, Washington"
The Frankie Shop,Save,N/A,90,Retail,"luxury clothing, +68","New York, New York"
Lovepop,Save,N/A,96,"Retail, Wholesale","3d popup cards, +59","Boston, Massachusetts"
Medical Fitness Association,Save,N/A,75,"Health, Wellness & Fitness","medical fitness, +49","Pinehurst, North Carolina"
Goli Nutrition,Save,N/A,94,"Health, Wellness & Fitness",+118,"West Hollywood, California"
PayrHealth,Save,N/A,58,Hospital & Health Care,"payer contracting, +9","Austin, Texas"
Limeade,Save,N/A,88,+2,+83,"Bellevue, Washington"
Cymbiotika,Save,N/A,100,"Health, Wellness & Fitness",+116,"San Diego, California"
Arintra,Save,N/A,85,Hospital & Health Care,"hospitals & health care, +115","Austin, Texas"
National Resident Matching Program® (NRMP®),Save,N/A,63,Hospital & Health Care,+110,"Washington, District of Columbia"
PatientIQ,Save,N/A,93,+2,"digital health, +128","Chicago, Illinois"
TechnoAnt (US),Save,N/A,64,Retail,+90,"Duluth, Georgia"
CareAbout Health,Save,N/A,91,+2,"healthcare, +122","New York, New York"
FriskaAi,Save,N/A,57,+2,"ai, healthtech, +137","Arlington, Virginia"
24/7 Medical Billing Services,Save,N/A,69,Hospital & Health Care,+68,"Lewes, Delaware"
Alternative Apparel,Save,N/A,65,"Retail, Apparel & Fashion","fashion, apparel, +66","Norcross, Georgia"
Superpedestrian,Save,N/A,93,"Consumer Services, +2",+128,"Cambridge, Massachusetts"
Sissy's Log Cabin,Save,N/A,84,Retail,"timepieces, +81","Pine Bluff, Arkansas"
Associated Bodywork & Massage Professionals (ABMP),Save,N/A,90,"Health, Wellness & Fitness","bodywork, +107","Golden, Colorado"
RCCS,Save,N/A,96,Hospital & Health Care,"radiation oncology, +96","Cedar Park, Texas"
CareMessage,Save,N/A,79,+2,"patient engagement, +132","San Francisco, California"
DIBS Beauty,Save,N/A,57,"Health, Wellness & Fitness",+69,"Austin, Texas"
AX Beauty Brands,Save,N/A,58,"Health, Wellness & Fitness","brand architecture, +78","New York, New York"
Executive Career Partners,Save,N/A,76,Consumer Services,"job search strategy, +115","Denver, Colorado"
Seated,Save,N/A,78,Consumer Services,+46,"New York, New York"
Ezra,Save,N/A,62,Hospital & Health Care,"hospitals & health care, +31","New York, New York"
